title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,zip_code,parking
Se vende casa a tan solo 5 minutos del centro,Mitula,Casa,"oaxaca, oaxaca, lomas de santa rosa",8500000,9.0,7.0,349.0,256.0,"INMUEBLE APROPIADO PARA HOTEL BOUTIQUE U OFICINAS, A TAN SOLO CINCO MINUTOS DEL CENTRO HISTÓRICO DE OAXACA, FRENTE AL ESTACIONAMIENTO GUELAGUETZA, A 3 MINUTOS DEL MERCADO SÁNCHEZ PASCUAS Y DE LA UNIVERSIDAD VASCONCELOS, CISTERNA DE 10,000 LTS. LLAME PARA UNA CITA!!! ASESOR INMOBILIARIO LIC. JOSÉ MILLÁN*Para ver completas las fotografías de clik sobre ellas para que se muestren a traves de un visor. EasyBroker ID: 79551",68013.0,3.0
CASA NUEVA EN VENTA ZONA NORTE DE OAXACA,Mitula,Casa,"manuel sabino crespo, oaxaca de juarez, oaxaca, mexico",3950000,4.0,3.0,230.0,150.0,"PRECIOSA CASA NUEVA EN VENTA EN LA ZONA NORTE DE OAXACAUBICADA EN LA COLONIA MANUEL SABINO CRESPO PERTENECIENTE AL MUNICIPIO DE OAXACA DE JUAREZ.La casa ofrece en planta baja:  Cochera para dos autos, sala, comedor, cocina con cocina integral al alto brillo, jardín interior, patio de servicio, baño completo, recámara o estudio, escaleras para el primer nivel, recámara principal con closet amplio y baño completo propio, 2 recámaras secundarias, un segundo baño completo para el servicio de las recámaras secundarias, continuación de escaleras para el segundo nivel donde encontraremos el roof garden.La casa se entregará con pergola, tinaco de 1100 litros, gas estacionario, cisterna de 6500 litros,portón eléctrico de tres hojas y puerta peatonal con chapa electrica.ACEPTAMOS TODOS LOS CREDITOS Y CONTADO.Tramites gratuitos, se muestra previa cita.",68045.0,2.0
VENTA DE CASA EN OAXACA DE JUAREZ COL. AMERICA SUR,Mitula,Casa,"argentina 311, america sur, oaxaca de juarez, oaxaca, mexico",590000,3.0,2.0,415.0,264.0,"GRAN OPORTUNIDAD DE ADQUIRIR BONITA CASA DE 415 m2 DE CONSTRUCCIÒN CON EXCELENTE UBICACIÓN DENTRO DE COLONIA AMERICA SUR. GRAN VISTA Y AMBIENTE RUSTICO. CUENTA CON VIAS PRINCIALES, UBICADO CERCA DE PARQUES, PLAZAS COMERCIALES, ESCUELAS, BANCOS Y FARMACIAS. EL INMUEBLE CUENTA CON UNA ESTANCIA COMODA, COCINA INTEGRAL, 3 RECAMARAS, 3.5 BAÑOS, 2 LUGARES DE ESTACIONAMIENTO Y ESTUDIO.",68104.0,1.0
LA CASA DE TUS SUEÑOS EN OAXACA,Mitula,Casa,"blvrd la paz, san felipe, colinas de la soledad, 68024 oaxaca de juarez, oaxaca, mexico",1210000,3.0,2.0,340.0,300.0,"HERMOSA CASA EN UNA DE LAS MEJORES ZONAS, RODEADA DE TODOS LOS SERVICIOS",68026.0,
Casa en Venta de un Nivel 2 Recamaras en San Felipe,Mitula,Casa,"piedra de sal, agencia municipal de san felipe del agua, oaxaca de juarez, oaxaca, mexico",7200000,2.0,1.0,150.0,938.0,"Casa habitación rustica campirana en un solo nivel de ladrillo rojo con techos altos de teja de dos aguas, vigas de madera, muy acogedora, fresca, iluminada, rodeada de bellos árboles frutales, ubicada en San Felipe, colinda con el parque Colosio, área segura, tranquila, con bellísima vista al poniente, se respira aire puro, a pocos minutos del sport city, Colonia Reforma y centro.Zona habitacional media-alta.Acceso rápido a medios de transporte, mercaditos, comercios varios, cerros y senderos para salir a caminar y andar en bicicleta.Propiedad privada.Servicios disponibles: Electricidad, Alumbrado público, línea telefónica e internet.Superficie de terreno: 938.24 m2Superficie construida: 150m2.. Cisterna de 20 mil litros con bomba automática.. Tanque de gas estacionario.. Barda de tabique.. Pórtico. Sala y comedor.. Cocina integral con barra desayunador. Dos recamaras (una con tapanco).. Un baño completo.. Fosa séptica.Precio de Venta $ 7,200,000.00Previa cita:“INMOBILIARIA ZAGAO”Calle Boulevard de La Paz 102Colinas de La Soledad, Oaxaca.",68276.0,
CASA EN VENTA 5 MINUTOS DE LA CD DE OAXACA,Mitula,Casa,"avenida de la paz 101, fraccionamiento las palmas, oaxaca, 68153, mex",1900000,3.0,1.0,120.0,80.0,"Fracc. Lomas de San Juan, Oaxaca de JuárezCerca del Parque del AmorA 10 minutos del centro de la Ciudad2 Niveles3 Recamaras (una recamara con closet)SalaComedorCocina (cocina integral)BañoPatio de servicioCochera cerrada para un vehículoPropiedad privadaTodos los serviciosTerreno de 80 m2Medidas: 8 x 10120 m2 de construcción.Precio $ 1, 900,000",68157.0,1.0
SE VENDE INMUEBLE  IDEAL PARA NEGOCIO Y VIVIENDA,Mitula,Casa,"oaxaca, oaxaca, montoya",2350000,6.0,2.0,220.0,139.0,"Una Gran oportunidad para invertir y ubicar tu propio negocio, esta propiedad está  a 3 cuadras de PLAZA BELLA en el Fraccionamiento Montoya.Enfrente hay un parque y alrededor varios negocios de diferentes giros comerciales.PLANTA BAJA:CocinaSalaComedor2 RecamarasLocal comercial Cochera para un vehículo Baño completoPatio de servicioCisterna 7500 Lts.Pasillo lateral de servicioPLANTA ALTA:4 recamaras Un baño completo 1/2 Baño Entrada independiente Corredor amplioCalentador solar en azotea Adquiere el hogar que estás buscando, agenda tu visita al,. EasyBroker ID: EB-NV6065",68143.0,1.0
VENTA DE CASA EN COL. BARRIO DE JATLACO. OAXACA. OAX. (NO CRÉDITO),Mitula,Casa,"pajaritos, barrio de jalatlaco, oaxaca de juarez, oaxaca, mexico",695000,3.0,2.0,240.0,189.0,"EXCELENTE OPORTUNIDAD DE ADQUIRIR UNA PROPIEDAD CON TODAS LAS COMODIDADES QUE NECESITAS. LA CASA CUENTA CON 3 AMPLIAS RECAMARAS, 3 ½ BAÑOS, 2 LUGARES DE ESTACIONAMIENTO, SALA COMEDOR Y CUARTO DE SERVICIO. SE UBICA EN UNA ZONA ESTRATÉGICA DE LA CIUDAD, CERCA DE BODEGA AURRERA, PARQUES, COLEGIO, COPPEL, ELEKTRA Y RESTAURANTES. NO SE ACEPTAN CRÉDITOS. ¡NO TE PIERDAS ESTA GRAN OPORTUNIDAD!",68276.0,1.0
VENTA DE CASA EN COL. GUADALUPE VICTORIA OAXACA OAX,Mitula,Casa,"guadalupe victoria, agencia de policia guadalupe victoria sector 2, oaxaca de juarez, oaxaca, mexico",510000,4.0,3.0,387.0,221.0,"HERMOSA CASA, UBICADA EN UNA ZONA EXCLUSIVA DEL ESTADO DE OAXACA, ACCESO POR AVENIDAS PRINCIPALES, RODEADA DE ESCUELAS, TIENDAS, UNA ZONA MUY TRANQUILA PARA VIVIR, SU DISTRIBUCION ES DE : 4 AMPLIAS RECAMARAS, ESTUDIO, SALA ,COCINA, 3.5 BAÑOS, AMPLIO ESPACIO PARA TENER A TUS MASCOTAS, 2 LUGARES DE ESTACIONAMIENTO",68033.0,1.0
"VENTA DE CASA EN COL. AMERICA SUR, OAXACA DE JUAREZ, OAX. (NO CRÉDITO)",Mitula,Casa,"argentina, america sur, oaxaca de juarez, oaxaca, mexico",9887478,3.0,3.0,415.0,264.0,"¡Increíble oportunidad de adquirir una hermosa casa en una de las mejores zonas de Colonia America Sur! La propiedad cuenta con una ubicación inmejorable, cerca de vías principales, parques, plazas comerciales, escuelas, bancos y farmacias. La casa tiene una distribución cómoda, con una hermosa cocina integral, 3 amplias recámaras, 3.5 baños, 2 lugares de estacionamiento y un estudio, lo que la hace ideal para familias grandes o aquellas que buscan un espacio adicional para trabajar desde casa. ¡No pierdas esta oportunidad de hacer realidad el sueño de tener tu propia casa hoy mismo! No se aceptan créditos, ¡contáctanos para más información y asesoría personalizada!",68104.0,1.0
"VENTA DE CASA EN OAXACA, VILLA DE MONTE ALBAN, OAXACA, OAXACA",Mitula,Casa,"oaxaca, oaxaca, fraccionamiento villas montealban",568000,2.0,1.0,94.0,60.0,"EXCELENTE OPORTUNIDAD DE ADQUIRIR HERMOSACASA LA DISTRIBUCIÓN ES: SALA, COMEDOR, COCINA, 2 RECAMARAS AMPLIAS,1 BAÑO, CUARTO DE LAVADO. EXCELENTE UBICACIÓNCERCA DE: CENTROS COMERCIALES, UNIVERSIDADES, ESCUELAS, HOSPITALES, CLINICAS, CAFETERIAS, TIENDAS DE AUTO SERVICIO, BANCOS Y PARQUES",68143.0,
"VENTA DE CASA EN OAXACA, COL. AMERICA SUR, OAXACA, OAXACA.",Mitula,Casa,"oaxaca, oaxaca, america sur",715000,3.0,3.0,415.0,264.0,"¡OPORTUNIDAD DE ADQUIRIR BONITA CASA! EL INMUEBLE CUENTA CON UNA ESTANCIA COMODA, COCINA INTEGRAL, 3 RECAMARAS, 3.5 BAÑOS,2 LUGARES DE ESTACIONAMIENTO Y ESTUDIO.EXCELENTE UBICACIÓN DENTRO DE COLONIA AMERICA SUR, CUENTA CON VIAS PRINCIALES, UBICADO CERCA DE PARQUES, PLAZAS COMERCIALES, ESCUELAS, BANCOS Y FARMACIAS.",68104.0,1.0
"Venta de Casa en Oaxaca, Agencia de Policia Guadalupe Victoria Sector 6, Oaxaca de Juárez, Oaxaca, México",Mitula,Casa,"oaxaca, oaxaca, ejido guadalupe victoria",510000,4.0,3.0,387.0,221.0,"TE OFRECEMOS UNA PROPIEDAD UBICADA EN UNA ZONA CONFORT DEL ESTADO DE OAXACA A UN PRECIO EXCEPCIONALMENTE ACCESIBLE. ESTA CASA TIENE ACCESO POR AVENIDAS PRINCIPALES Y ESTÁ RODEADA DE ESCUELAS Y TIENDAS, LO QUE LA CONVIERTE EN UNA ZONA MUY TRANQUILA PARA VIVIR.CON 4 AMPLIAS RECÁMARAS, UN ESTUDIO, UNA SALA Y COCINA, 3.5 BAÑOS, ¡Y UN AMPLIO ESPACIO PARA TUS MASCOTAS!, ESTA CASA ES EL LUGAR PERFECTO PARA VIVIR. ADEMÁS, CUENTA CON 2 LUGARES DE ESTACIONAMIENTO Y ES UNA INVERSIÓN TOTALMENTE SEGURA, CON ENTREGA GARANTIZADA BAJO CONTRATO. ¡NO ESPERES MÁS Y ADQUIERE ESTA PROPIEDAD HOY MISMO!",68277.0,1.0
"VENTA DE CASA EN OAXACA, OAXACA, CENTRO, OAXACA, OAX.",Mitula,Casa,"oaxaca, oaxaca, manuel sabino crespo",320000,4.0,3.0,380.0,279.0,"GRAN OPORTUNIDAD DE INVERSION CON ESTA GRAN PROPIEDAD, EN EXELENTE COLONIA DEL ESTADO DE OAXACA EMBLEMATICO ESTADO DE LA REPUBLICA, DISTRIBUCION EN DOS PLANTAS CUENTA CON 4 RECAMARAS, 3 BAÑOS SALA, COMEDOR, EXTENSO JARDIN Y PATIO TRASERO.   ESTACIONAMIENTO PARA 2 AUTOS, EXELENTE UBICACIÓN Y ZONA TRANQUILA DE GRAN COMODIDAD EN ACCESOS Y AVENIDAS PRINCIPALES A 2 KM DEL CENTRO DE OAXACA ( ZOCALO ) Y A 1 KM DEL AUDITORIO DE LA GUELAGUETZA",68045.0,2.0
VENTA DE CASA EN OAXACA MACEDONIO ALCALA,Mitula,Casa,"agencia de policia guadalupe victoria sector 1, oaxaca de juarez, oaxaca, mexico",510000,4.0,3.0,387.0,221.0,"CASA CON PRECIO MUY POR DE BAJO DE SU VALOR COMERCIAL, UBICADA EN UNA ZONA EXCLUSIVA DEL ESTADO DE OAXACA, ACCESO POR AVENIDAS PRINCIPALES, RODEADA DE ESCUELAS, TIENDAS, UNA ZONA MUY TRANQUILA PARA VIVIR, SU DISTRIBUCION ES DE : 4 AMPLIAS RECAMARAS, ESTUDIO, SALA ,COCINA, 3.5 BAÑOS, AMPLIO ESPACIO PARA TENER A TUS MASCOTAS, 2 LUGARES DE ESTACIONAMIENTO, INVERSION TOTALMENTE SEGURA, ENTREGA GARANTIZADA BAJO CONTRATO. “NO SE ACEPTAN CREDITOS”  INFORMES CON:OSCAR MEDELLÍN",68276.0,1.0
"VENTA DE CASA EN SANTA ROSA, EDUCACION, OAXACA.",Mitula,Casa,"jose vasconcelos 301, educacion, oaxaca de juarez, oaxaca, mexico",780000,2.0,1.0,95.0,95.0,"HERMOSA PROPIEDAD PARA INVERTIR EN TU PATRIMONIO, EL INMUEBLE CUENTA UNA COMODA ESTANCIA CUENTA CON 2 AMPLIAS RECAMARAS, 1 BAÑO Y 1 MEDIO BAÑO, 1 LUGAR PARA ESTACIONAMIENTO  EXCELENTE UBICACIÓN EN LA MEJOR ZONA RODEADA DE PRINCIPALES VIAS DE ACCESO",68010.0,1.0
VENTA DE CASA EN OAXACA COL AMERICA SUR OAXACA DE JUAREZ,Mitula,Casa,"oaxaca, oaxaca, america sur",715000,3.0,3.0,415.0,216.0,"UNICA OPORTUNIDAD DE ADQUIRIR BONITA CASA CON EXCELENTE UBICACIÓN DENTRO DE COLONIA AMERICA SUR, CUENTA CON VIAS PRINCIALES, UBICADO CERCA DE PARQUES, PLAZAS COMERCIALES, ESCUELAS, BANCOS Y FARMACIAS. EL INMUEBLE CUENTA CON UNA ESTANCIA COMODA, COCINA INTEGRAL, 3 RECAMARAS, 3.5 BAÑOS,2 LUGARES DE ESTACIONAMIENTO Y ESTUDIO",68104.0,1.0
VENTA DE CASA EN OAXACA,Mitula,Casa,"pajaritos 213, barrio de jalatlaco, oaxaca de juarez, oaxaca, mexico",695000,3.0,2.0,240.0,189.0,"EXCELENTE OPORTUNIDAD DE ADQUIRIR HERMOSACASA A UN ATRACTIVO COSTO Y CON EXCELENTE PLUSVALÍA.LA MEJOR INVERSIÓN EN BIENES RAÍCES LA DISTRIBUCIÓN ES: SALA, COMEDOR, COCINA,3 RECAMARAS AMPLIAS,2.5 BAÑOS,2 LUGARES DE ESTACIONAMIENTO, CUARTO DE LAVADO.EXCELENTE UBICACIÓNCERCA DE: CENTROS COMERCIALES, UNIVERSIDADES, ESCUELAS, HOSPITALES, CLINICAS, CAFETERIAS, TIENDAS DE AUTO SERVICIO, BANCOS Y PARQUES",68276.0,1.0
VENTA DE CASA OAXACA LA NORIA DEJUAREZ,Mitula,Casa,"xicotencatl, zona feb 10 2015, barrio de la noria, oaxaca de juarez, oaxaca, mexico",790000,3.0,2.0,130.0,205.0,"GRAN OPORTUNIDAD DE INVERSION BONITA CASA A UN MUY ATRACTIVO COSTO Y CON EXCELENTE PLUSVALIA CASA, LA DISTRIBUCION ES SALA, COMEDOR, COCINA, CUARTO DE LAVADO, 3 RECAMARAS, 2.5 BAÑO, 1 LUGAR DE ESTACIONAMIENTO.EXCELENTES VIAS DE ACCESO PERIFERICO, EDUARDO MATA, HOTELES, CENTROS COMERCIALES.ARQ.ANDRES FREIXAS TEL:",68276.0,1.0
"VENTA DE CASA, OAXACA",Mitula,Casa,"huerto los framboyanes, universidad, trinidad de las huertas, oaxaca de juarez, oaxaca, mexico",910000,4.0,3.0,360.0,200.0,"MARAVILLOSA ZONA CON ALTA PLUSVALIA, CUENTA CON, SALA, COMEDOR AMPLIOS, COCINA INTEGRAL, 4 RECAMARAS, 3.5 BAÑOS, 3 LUGARES DE ESTACIONAMIENTO, PATIO, CUARTO DE LAVADO,  ESTUDIO, CUARTO DE TV. ES UNA PROPIEDAD IDEAL PARA VIVIR, E INCREMENTAR TU PATRIMONIO, ¡¡ES TU OPORTUNIDAD PARA CONVERTIRLO EN EL HOGAR DE TUS SUEÑOS!! LA ZONA ES MUY TRANQUILA, ES UNA UBICACIÓN ENVIDIABLE, TIENE TODOS LOS SERVICIOS A TU ALCANCE, ESCUELAS, PARQUES, COMERCIOS, SUPERMERCADOS. CON ACCESO POR PRINCIPALES VÍAS DE COMUNICACIÓN, A POCOS MINUTOS DE LAS AVENIDAS PRINCIPALES DE LA ZONA.",68080.0,1.0
VENTA DE CASA EN OAXACA COL AMERICA SUR OAXACA,Mitula,Casa,"oaxaca, oaxaca, america sur",715000,3.0,3.0,415.0,264.0,"UNICA OPORTUNIDAD DE ADQUIRIR BONITA CASA CON EXCELENTE UBICACIÓN DENTRO DE COLONIA AMERICA SUR, CUENTA CON VIAS PRINCIALES, UBICADO CERCA DE PARQUES, PLAZAS COMERCIALES, ESCUELAS, BANCOS Y FARMACIAS. EL INMUEBLE CUENTA CON UNA ESTANCIA COMODA, COCINA INTEGRAL, 3 RECAMARAS, 3.5 BAÑOS,2 LUGARES DE ESTACIONAMIENTO Y ESTUDIO.",68104.0,1.0
"EGE, BONITA CASA EN RECUPERACION HIPOTECARIA EN OAXACA CENTRO! SOLO CONTADO.",Mitula,Casa,"manuel sabino crespo, oaxaca de juarez, oaxaca, mexico",1680173,3.0,2.0,180.0,180.0,"CASA EN VENTA: MANUEL SABINO CRESPO, CENTRO,OAXACA, OAXACA. Precio: $ 1,680,173.00 **Gran oportunidad de adquirir Casa .** Solo Pago de Contado. **Precio sujeto a cambio sin previo aviso** Para Mayor Informes Contáctanos: Lic. Estrada Cel:,Whatsapp: Quienes Somos:",68045.0,
HERMOSA CASA A UNOS MINUTOS DEL CENTRO DE OAXACA,Mitula,Casa,"macedonio alcala 134, agencia de policia guadalupe victoria sector 6, oaxaca de juarez, oaxaca, mexico",1239000,4.0,3.0,380.0,220.0,"CASA CON EXCELENTE DISEÑO, RODEADA DE TODOS LOS SERVICIOS. CERCANA A ESCUELAS Y EN UNA BUENA ZONA.",68276.0,
HERMOSA CASA EN OAXACA,Mitula,Casa,"huerto los framboyanes 102, universidad, trinidad de las huertas, 68120 oaxaca de juarez, oax., mexico",899000,3.0,2.0,127.0,180.0,"UNA DE LAS CASAS MEJOR UBICADAS, A TAN SOLO UNOS MINUTOS DEL CENTRO DE LA CIUDAD, RODEADA DE TODOS LOS SERVICIOS COMO HOSPITALES, CENTROS COMERCIALES (PLAZA OAXACA), A UNAS CALLES DE LA UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA.",68080.0,
VENTA DE CASA EN OAXACA,Mitula,Casa,"xicotencatl, zona feb 10 2015, barrio de la noria, oaxaca de juarez, oaxaca, mexico",790000,3.0,2.0,250.0,113.0,"MAGNIFICA OPORTUNIDAD DE ADQUIRIR BONITA CASA CON EXCELENTE PLUSVALIA. LA DISTRIBUCION ES SALA, COMEDOR, COCINA, CUARTO DE LAVADO, 3 RECAMARAS, 2.5 BAÑOS, 1 LUGAR DE ESTACIONAMIENTO Y AMPLIO JARDIN PRIVADO. EXCELENTES VIAS DE ACCESO PERIFERICO, EDUARDO MATA, HOTELES, CENTROS COMERCIALES, CERCANA A SUPERMERCADOS, ZONA DE BANCOS, PARQUES, ESCUELAS, FARMACIAS, TIENDAS, ETC.",68276.0,1.0
CASA E OAXACA,Mitula,Casa,"huerto los framboyanes 102, universidad, trinidad de las huertas, oaxaca de juarez, oaxaca, mexico",899000,3.0,2.0,180.0,180.0,"¡¡Gran Venta Especial!!Obtén tu nuevo patrimonio familiar con una ubicación privilegiada, rodeada por las principales vías de comunicación, medios de transporte, mercados, centros comerciales, escuelas, bancos, hospitales, zonas de recreación y localidades de importancia como: Hospital Diana, Gimnasio Universitario.También Avenidas conocidas como: Av. Oaxaca, Av. Universidad.   •Solo Capital Propio•Agenda tu cita y conoce más detalles de TU NUEVA CASA",68080.0,
VENTA DE CASA EN OAXACA,Mitula,Casa,"argentina, america sur, oaxaca de juarez, oaxaca, mexico",715000,3.0,3.0,415.0,264.0,"UNICA OPORTUNIDAD DE ADQUIRIR BONITA CASA CON EXCELENTE UBICACIÓN DENTRO DE COLONIA AMERICA SUR, CUENTA CON VIAS PRINCIALES, UBICADO CERCA DE PARQUES, PLAZAS COMERCIALES, ESCUELAS, BANCOS Y FARMACIAS. EL INMUEBLE CUENTA CON UNA ESTANCIA COMODA, COCINA INTEGRAL, 3 RECAMARAS, 3.5 BAÑOS,2 LUGARES DE ESTACIONAMIENTO Y ESTUDIO.""""""NO SE ACEPTAN CREDITOS""""""MAYOR INFORMACIÓN CON MONTSERRAT CELIS :",68104.0,1.0
CASA EN VENTA MACEDONIO ALCALA GUADALUPE VICTORIA OAXACA DE JUAREZ,Mitula,Casa,"macedonio alcala, agencia de policia guadalupe victoria sector 6, oaxaca de juarez, oaxaca, mexico",510000,4.0,3.0,387.0,221.0,"ESTA ES LA OPORTUNIDAD PARA REALIDAD TU SUEÑO DE TENER UNA CASA PROPIA, INVIERTE EN UNA PROPIEDAD A UN EXCELENTE PRECIO MUY POR DE BAJO DE SU VALOR COMERCIAL, UBICADA EN UNA ZONA EXCLUSIVA DEL ESTADO DE OAXACA, ACCESO POR AVENIDAS PRINCIPALES, RODEADA DE ESCUELAS, TIENDAS, UNA ZONA MUY TRANQUILA PARA VIVIR, SU DISTRIBUCION ES DE : 4 AMPLIAS RECAMARAS, ESTUDIO, SALA ,COCINA, 3.5 BAÑOS, AMPLIO ESPACIO PARA TENER A TUS MASCOTAS, 2 LUGARES DE ESTACIONAMIENTO, INVERSION TOTALMENTE SEGURA, ENTREGA GARANTIZADA",68276.0,1.0
CASA EN VENTA EN MACEDONIO ALCALA COL AGENCIA DE POLICIA GUADALUPE VICTORIA OAXACA DE JUAREZ,Mitula,Casa,"macedonio alcala, agencia de policia guadalupe victoria sector 6, oaxaca de juarez, oaxaca, mexico",510000,4.0,3.0,387.0,221.0,"ESTA ES LA OPORTUNIDAD PARA REALIDAD TU SUEÑO DE TENER UNA CASA PROPIA, INVIERTE EN UNA PROPIEDAD A UN EXCELENTE PRECIO, UBICADA EN UNA ZONA EXCLUSIVA DEL ESTADO DE OAXACA, ACCESO POR AVENIDAS PRINCIPALES, RODEADA DE ESCUELAS, TIENDAS, UNA ZONA MUY TRANQUILA PARA VIVIR, SU DISTRIBUCION ES DE : 4 AMPLIAS RECAMARAS, ESTUDIO, SALA ,COCINA, 3.5 BAÑOS, AMPLIO ESPACIO PARA TENER A TUS MASCOTAS, 2 LUGARES DE ESTACIONAMIENTO, INVERSION TOTALMENTE SEGURA,",68276.0,1.0
VENTA DE CASA EN XIPETOTEC COL VILLA DE MONTE ALBAN OAXACA OAXACA,Mitula,Casa,"xipetotec 49, villas de monte alban, oaxaca de juarez, oaxaca, mexico",568000,2.0,1.0,94.0,60.0,"EXCELENTE OPORTUNIDAD DE ADQUIRIR HERMOSA CASA LA DISTRIBUCIÓN ES: SALA, COMEDORCOCINA2 RECAMARAS AMPLIAS1 BAÑO CUARTO DE LAVADO. COSTO TOTAL DE LA PROPIEDAD: 568.000 MIL PESOSEXCELENTE UBICACIÓNCERCA DE: CENTROS COMERCIALES, UNIVERSIDADES, ESCUELAS, HOSPITALES, CLINICAS, CAFETERIAS, TIENDAS DE AUTO SERVICIO, BANCOS Y PARQUES",68154.0,
VENTA DE CASA COLONIA AGENCIA DE POLICIAS GUADALUPE VICTORIA OAXACA OX,Mitula,Casa,"macedonio alcala, agencia de policia guadalupe victoria sector 6, oaxaca de juarez, oaxaca, mexico",510000,4.0,3.0,350.0,200.0,"EXCELENTE OPORTUNIDAD DE HACER CRECER TU PATRIMONIO, TENGO A LA VENTA UNA MARAVILLOSA CASA. CON UNA UBICACION ESPECTACULAR, EN UNA DE LAS ZONAS CON MAYOR VALOR COMERCIAL EN LOS BIENES RAICES, EN LA COLONIA GUADALUPE VICTORIA. OAXACA DE JUAREZ OAXACA, CUENTA EN SUS ALREDEDORES CON PLAZAS COMERCIALES DE 1RA CATEGORIA, ESCUELAS EN TODOS LOS NIVELES EDUCATIVOS, CENTROS DE RECREACION FAMILIAR, PARQUES Y AREAS NATURALES PARA LOS NIÑOS, HOSPITALES Y CENTROS MEDICOS. ADEMAS ACCESO A LA CASA POR LAS PRINCIPALES AVENIDAS DE LA CIUDAD Y LO MAS IMPORTANTE POR SU CERCANIA CON EL CENTRO DE LA CIUDAD REPRESENTA UNA EXCELENTE INVERSION. EL INMUEBLE CUENTA CON 4 RECAMARAS, COCINA, SALA, COMEDOR, ESTUDIO, 3 BAÑOS Y ESTACIONAMIENTO PARA 2 CARROS, ADEMAS ESPACIO PARA SUS MASCOTAS. ES UNA INVERSION SEGURA Y GARANTIZADA BAJO CONTRATO. NOTA: NO SE ACEPTAN CREDITOS. PARA MAYOR INFORMACION COMUNIQUESE CON SU ASESOR INMOBILIARIO.",68276.0,3.0
VENTA DE CASA EN OAXACA COL AGENCIA DE POLICIA GUADALUPE VICTORIA,Mitula,Casa,"macedonio alcala 134, agencia de policia guadalupe victoria sector 6, oaxaca de juarez, oaxaca, mexico",510000,4.0,3.0,387.0,221.0,"EXCELENTE OPORTUNIDAD DE ADQUIRIR HERMOSACASA A UN ATRACTIVO COSTO Y CON EXCELENTE PLUSVALÍA.LA MEJOR INVERSIÓN EN BIENES RAÍCES LA DISTRIBUCIÓN ES: SALA, COMEDOR, COCINA4 RECAMARAS AMPLIAS3.5 BAÑOS2 LUGARES DE ESTACIONAMIENTOCUARTO DE LAVADO. EXCELENTE UBICACIÓNCERCA DE: CENTROS COMERCIALES, UNIVERSIDADES, ESCUELAS, HOSPITALES, CLINICAS, CAFETERIAS, TIENDAS DE AUTO SERVICIO, BANCOS Y PARQUES",68276.0,1.0
"VENTA DE CASA EN, OAXACA",Mitula,Casa,"macedonio alcala, emiliano zapata, oaxaca de juarez, oaxaca, mexico",510000,4.0,3.0,381.0,221.0,"DESCRIPCION: ESTA ES LA OPORTUNIDAD PARA REALIDAD TU SUEÑO DE TENER UNA CASA PROPIA, INVIERTE EN UNA PROPIEDAD A UN EXCELENTE PRECIO MUY POR DE BAJO DE SU VALOR COMERCIAL, UBICADA EN UNA ZONA EXCLUSIVA DEL ESTADO DE OAXACA, ACCESO POR AVENIDAS PRINCIPALES, RODEADA DE ESCUELAS, TIENDAS, UNA ZONA MUY TRANQUILA PARA VIVIR, SU DISTRIBUCION ES DE : 4 AMPLIAS RECAMARAS, ESTUDIO, SALA ,COCINA, 3.5 BAÑOS, AMPLIO ESPACIO PARA TENER A TUS MASCOTAS, 2 LUGARES DE ESTACIONAMIENTO, INVERSION TOTALMENTE SEGURA, ENTREGA GARANTIZADA BAJO CONTRATO. “NO SE ACEPTAN CREDITOS” INFORMES CON: FRANCO SALDIVAR",68148.0,1.0
VENTA DE CASA OAXACA,Mitula,Casa,"la paz san felipe, oaxaca de juarez, oaxaca, mexico",890000,3.0,3.0,225.0,300.0,"MAGNIFICA OPORTUNIDAD PARA ADQUIRIR ESTA HERMOSA CASA Y HACER CRECER TU PATRIMONIO FAMILIAR. UBICADA EN UNA ZONA DE ALTA PLUSVALIA CON ACCESO TOTAL POR AVENIDAS PRINCIPALES (CARRETERA CRISTOBAL COLON Y CALZ. SAN FELIPE DEL AGUA) ADEMAS, ESTA A SOLO 5 MINUTOS DE CENTRO DE SALUD, 13 MINUTOS DE PLAZA MAZARI Y 40 MINUTOS DE ESTADIO EDUARDO VASCONCELOS. RODEADA DE TODO LO QUE NECESITAS: RESTAURANTES, BANCOS, FARMACIAS, CENTRO COMERCIALES, PARQUES, MERCADOS, SUPER MERCADOS, HOSPITALES Y CAFETERIAS. LA CASA CUENTA CON 3 AMPLIAS RECAMARAS, 2 BAÑOS COMPLETOS, 1 BAÑO PARA VISITAS Y COCHERAS PARA ESTACIONAR 2 AUTOS. NO PIERDAS LA OPORTUNIDAD DE GARANTIZAR LA COMODIDAD Y TRANQUILIDAD DE LA FAMILIA.",68044.0,2.0
